date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:27	1166/1166	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jan%202022%2021:35:20%20GMT	https://mycheats.xyz/robots.txt		(from )
22:04:27	18675/18675	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jun%202023%2001:07:15%20GMT	https://mycheats.xyz/	C:/My%20Web%20Sites/latency/mycheats.xyz/index.html	(from )
22:04:28	305626/305626	---M--	200	added ('OK')	image/png	etag:%224a9da-643f3e81-f3424000e14916b6;;;%22	https://mycheats.xyz/app/assets/img/logo.png	C:/My%20Web%20Sites/latency/mycheats.xyz/app/assets/img/logo.png	(from https://mycheats.xyz/)
22:04:28	195704/195704	---M-Z	200	added ('OK')	text/css	etag:%222fc78-643f3e80-884e9433aabe4eca;gz%22	https://mycheats.xyz/app/assets/css/bootstrap.css	C:/My%20Web%20Sites/latency/mycheats.xyz/app/assets/css/bootstrap.css	(from https://mycheats.xyz/)
22:04:28	293671/293671	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-47b27%22	https://code.jquery.com/jquery-3.6.3.js	C:/My%20Web%20Sites/latency/code.jquery.com/jquery-3.6.3.js	(from https://mycheats.xyz/)
22:04:29	135/135	---MCZ	200	added ('OK')	text/css	etag:W/%2287-643f3e80-a862c217b0531f76;;;%22	https://mycheats.xyz/app/assets/css/config.css	C:/My%20Web%20Sites/latency/mycheats.xyz/app/assets/css/config.css	(from https://mycheats.xyz/)
22:04:29	7697/7697	---M-Z	200	added ('OK')	text/css	etag:%221e11-646ab335-b59de3fc875ffe2d;gz%22	https://mycheats.xyz/app/assets/css/global.css	C:/My%20Web%20Sites/latency/mycheats.xyz/app/assets/css/global.css	(from https://mycheats.xyz/)
22:04:29	16927/16927	---M-Z	200	added ('OK')	text/css	etag:%22421f-64729471-c503aa3e2474e58f;gz%22	https://mycheats.xyz/app/assets/css/new/custom1.css	C:/My%20Web%20Sites/latency/mycheats.xyz/app/assets/css/new/custom1.css	(from https://mycheats.xyz/)
22:04:29	4372/4372	---M-Z	200	added ('OK')	text/css	etag:%221114-643f3e80-b3dc82c1c2dad28d;gz%22	https://mycheats.xyz/app/assets/css/new/responsive.css	C:/My%20Web%20Sites/latency/mycheats.xyz/app/assets/css/new/responsive.css	(from https://mycheats.xyz/)
22:04:29	2627/2627	---M-Z	200	added ('OK')	text/css	etag:%22a43-6472a6b7-bf2cb285c1b06ca7;gz%22	https://mycheats.xyz/app/css/mycheatss.css	C:/My%20Web%20Sites/latency/mycheats.xyz/app/css/mycheatss.css	(from https://mycheats.xyz/)
22:04:30	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-643f3e81-396b78a9d3560baf;gz%22	https://mycheats.xyz/app/css/aos.css	C:/My%20Web%20Sites/latency/mycheats.xyz/app/css/aos.css	(from https://mycheats.xyz/)
22:04:30	55993/55993	---M-Z	200	added ('OK')	text/css	etag:%22dab9-643f3e81-107335ddb38f66c1;gz%22	https://mycheats.xyz/app/css/all.css	C:/My%20Web%20Sites/latency/mycheats.xyz/app/css/all.css	(from https://mycheats.xyz/)
22:04:30	110502/110502	---M-Z	200	added ('OK')	text/css	etag:%221afa6-643f3e82-4323ab2cc30fae21;gz%22	https://mycheats.xyz/app/css/icons/remixicon.css	C:/My%20Web%20Sites/latency/mycheats.xyz/app/css/icons/remixicon.css	(from https://mycheats.xyz/)
22:04:31	11643/11643	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2030%20Jun%202023%2001:07:19%20GMT	https://kit.fontawesome.com/051a3fd3e9.js	C:/My%20Web%20Sites/latency/kit.fontawesome.com/051a3fd3e9.js	(from https://mycheats.xyz/)
22:04:31	68028/68028	---MCZ	200	added ('OK')	text/css	etag:%22109bc-IH/O3L/2oFuyFxGxc9h5/AQWzS0%22	https://unpkg.com/boxicons@2.1.4/css/boxicons.min.css	C:/My%20Web%20Sites/latency/unpkg.com/boxicons@2.1.4/css/boxicons.min.css	(from https://mycheats.xyz/)
22:04:32	22201/22201	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jun%202023%2001:07:20%20GMT	https://mycheats.xyz/app/painel/status	C:/My%20Web%20Sites/latency/mycheats.xyz/app/painel/status.html	(from https://mycheats.xyz/)
22:04:33	6027/6027	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jun%202023%2001:07:22%20GMT	https://mycheats.xyz/termos	C:/My%20Web%20Sites/latency/mycheats.xyz/termos.html	(from https://mycheats.xyz/)
22:04:34	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Jun%202023%2001:07:22%20GMT	https://mycheats.xyz/app/painel/download	C:/My%20Web%20Sites/latency/mycheats.xyz/app/painel/download	(from https://mycheats.xyz/)
22:04:34	16400/16400	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jun%202023%2001:07:22%20GMT	https://mycheats.xyz/app/painel/login	C:/My%20Web%20Sites/latency/mycheats.xyz/app/painel/login.html	(from https://mycheats.xyz/)
22:04:35	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2030%20Jun%202023%2001:07:23%20GMT	https://mycheats.xyz/discord	C:/My%20Web%20Sites/latency/mycheats.xyz/discord	(from https://mycheats.xyz/)
22:04:35	2457/2457	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jan%202022%2021:35:20%20GMT	https://mycheats.xyz/assets/img/gui_new_compressed.png	C:/My%20Web%20Sites/latency/mycheats.xyz/assets/img/gui_new_compressed.png	(from https://mycheats.xyz/)
22:04:35	23341/23341	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jun%202023%2001:07:24%20GMT	https://mycheats.xyz/jogos/farlight84	C:/My%20Web%20Sites/latency/mycheats.xyz/jogos/farlight84.html	(from https://mycheats.xyz/)
22:04:35	880420/880420	---M--	200	added ('OK')	image/png	etag:%22d6f24-6491e680-6e7cc2b3dda34ef7;;;%22	https://mycheats.xyz/app/img/FARLIGHT.png	C:/My%20Web%20Sites/latency/mycheats.xyz/app/img/FARLIGHT.png	(from https://mycheats.xyz/)
22:04:36	4260491/4260491	---M--	200	added ('OK')	image/png	etag:%2241028b-64934b82-7aa4631fef321119;;;%22	https://mycheats.xyz/app/assets/img/2D.png	C:/My%20Web%20Sites/latency/mycheats.xyz/app/assets/img/2D.png	(from https://mycheats.xyz/)
22:04:36	22228/22228	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Jun%202023%2001:07:24%20GMT	https://mycheats.xyz/jogos/combat-master	C:/My%20Web%20Sites/latency/mycheats.xyz/jogos/combat-master.html	(from https://mycheats.xyz/)
22:04:36	802716/802716	---M--	200	added ('OK')	image/png	etag:%22c3f9c-64728f72-8cf09ad389baee16;;;%22	https://mycheats.xyz/app/img/Combat%20Master.png	C:/My%20Web%20Sites/latency/mycheats.xyz/app/img/Combat%20Master.png	(from https://mycheats.xyz/)
